,Name,Title,CF Standard Name,Units,UID,Provenance,Name Validation,Status,CMOR Variables,Description,is alias (from CF Standard Name),Created,Last Modified By,Atmosphere team review status,Tagged author team,Data protection consent,Proposer name,Proposer email,Justification for inclusion,Atmosphere team review status copy 4,Processing Note,Proposed CF Standard Name,Proposed CF Standard Name Description,Processing Comment,Atmosphere review comments copy,Comments,Edited by author teams,Atmosphere team review status copy 2,Atmosphere team review status copy 5,Atmosphere team review status copy 6,Atmosphere review comments,CF Standard Name Proposal Accepted
recVt8ZVHnkHWK7mN,hur500,Relatie humidity at 500 hPa,relative_humidity,%,,,1,Under review,['recckGwdqOpQN2tew'],,0 checked out of 1,2024-09-13T15:25:37.000Z,Beth Dingley,In progress,['Atmosphere'],True,Isla Simpson,islas@ucar.edu,"Relative humidity at 500 hPa at 6 hourly instantaneous timescales can be useful for diagnosing convection/MCS & frontal environments
",,,,,,,,,,,,,
recVuCXPExxfZfiRp,sistressave,Average Normal Stress in Sea Ice,sea_ice_average_normal_horizontal_stress,N m-1,590e4bd8-9e49-11e5-803c-0d0b866b59f3,CMIP6 endorsement [SIMIP],1,Existing physical parameter,['recihh8oOf07rakur'],"Average normal stress in sea ice (first stress invariant)
",0 checked out of 1,2024-07-12T09:06:25.000Z,Automations,,,,,,,,['si'],,,,,Inconsistency in names of sea ice stress terms,True,,,,,
recW9FhhOkNNPnWQo,uaUTLS,"'6 hourly instantaneous northward wind at 3 pressure levels in the UTLS region (150, 200, and 250 hPa) '",northward_wind,m s-1,,,1,Under review,['recJrHgJcclsPPHr6'],,0 checked out of 1,2024-09-13T18:01:40.000Z,Beth Dingley,,['Impacts & Adaptation'],True,Impacts and Adaptation,paula.gonzalez@metoffice.gov.uk,"Requested to study impacts on aviation. Needed to diagnose clear air turbulence.
",In progress,,,,,,,,,,,,
recWA80TPzrtvPMlJ,siextents,Sea-Ice Extent South,sea_ice_extent,1e6 km2,590e9ed0-9e49-11e5-803c-0d0b866b59f3,CMIP6 endorsement [SIMIP],1,Existing physical parameter,['recEEJAyV2EQEJdwb'],"Total area of all Southern-Hemisphere grid cells that are covered by at least 15 % areal fraction of sea ice
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,['si'],,,,,,,,,,,
recWAKOyguBXUQP5V,deptho,Sea Floor Depth Below Geoid,sea_floor_depth_below_geoid,m,f1b8ddb539cb96eb65453dce4c8bb978,OMIP.fx,1,Existing physical parameter,['rec2kx8Mz6qcXIMkh'],"Ocean bathymetry.   Reported here is the sea floor depth for present day relative to z=0 geoid. Reported as missing for land grid cells.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recWJDp9sINht5UrU,stratch4loss,Loss of CH4 due to chemical destruction in the stratosphere,tendency_of_atmosphere_mole_concentration_of_methane_due_to_chemical_destruction,mol m-3 s-1,,,1,Under review,['rectCVRdcKexlnMcs'],,0 checked out of 1,2024-08-29T15:56:13.000Z,Beth Dingley,In progress,['Atmosphere'],True,Atmosphere,fiona.oconnor@metoffice.gov.uk,"To calculate methane budgets with new methane emissions-driven modelling capability
",,,,,,,,,,,,,
recWNVPcyzGmCUfJA,prlsns,Stratiform Snowfall Flux,stratiform_snowfall_flux,kg m-2 s-1,f7aec4279a79220660f26a558ed5672c,CMIP5_CF3hr,1,Existing physical parameter,['recIcTSRfQC4eEtun'],"large-scale precipitation of all forms of water in the solid phase.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recWNXp9lFemg0DRX,epfe100,Downward Flux of Particulate Iron,sinking_mole_flux_of_particulate_iron_in_sea_water,mol m-2 s-1,5ad003b9cbc58ca2c9117bb2d144605f,"CMIP5,C4MIP,LS3MIP",1,Existing physical parameter,['recJWdtXioZSyVvD8'],"In accordance with common usage in geophysical disciplines, ""flux"" implies per unit area, called ""flux density"" in physics.   'Sinking' is the gravitational settling of particulate matter suspended in a liquid. A sinking flux is positive downwards and is calculated relative to the movement of the surrounding fluid.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recWR2p3cs0RShRv3,si,Total Dissolved Inorganic Silicon Concentration,mole_concentration_of_dissolved_inorganic_silicon_in_sea_water,mol m-3,56a5fa6dd6b7c4aa711f362d5d5414f6,"CMIP5,C4MIP,HighResMIP,LS3MIP,PMIP",1,Existing physical parameter,"['recRu6tP7rmAj1ztF', 'rec8wDXitbgKgUu98']","Mole concentration means number of moles per unit volume, also called ""molarity"", and is used in the construction ""mole\_concentration\_of\_X\_in\_Y"", where X is a material constituent of Y. A chemical or biological species denoted by X may be described by a single term such as ""nitrogen"" or a phrase such as ""nox\_expressed\_as\_nitrogen"". ""Dissolved inorganic silicon"" means the sum of all inorganic silicon in solution (including silicic acid and its first dissociated anion SiO(OH)3-).
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recWYGsaclSi1ygIY,sivol,Sea-Ice Volume per Area,sea_ice_thickness,m,591801d2-9e49-11e5-803c-0d0b866b59f3,CMIP6 endorsement [SIMIP],1,Existing physical parameter,['reckYQD2wGG6ZMr3X'],"Total volume of sea ice divided by grid-cell area (this used to be called ice thickness in CMIP5)
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,['si'],,,,,,,,,,,
recWaKYlPeSsUJAKm,hflsLut,Latent Heat Flux on Land-Use Tile,surface_upward_latent_heat_flux,W m-2,590ee804-9e49-11e5-803c-0d0b866b59f3,CMIP6 endorsement [LUMIP],1,Existing physical parameter,['rec3lkwJTkAgj1q2T'],"The surface called ""surface"" means the lower boundary of the atmosphere. ""Upward"" indicates a vector component which is positive when directed upward (negative downward). The surface latent heat flux is the exchange of heat between the surface and the air on account of evaporation (including sublimation). In accordance with common usage in geophysical disciplines, ""flux"" implies per unit area, called ""flux density"" in physics.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recWbtZC5P8V68CLn,zmicroos,Surface Mole Concentration of Microzooplankton Expressed as Carbon in Sea Water,mole_concentration_of_microzooplankton_expressed_as_carbon_in_sea_water,mol m-3,c96d280c-c5f0-11e6-ac20-5404a60d96b5,CMIP6 Endorsement [OMIP],1,Existing physical parameter,['recA7KPcQZPxP7JEV'],"carbon  concentration from the microzooplankton (<20 um) component alone
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recWet9pgZh9fp6RM,chlpicoos,Surface Mass Concentration of Picophytoplankton Expressed as Chlorophyll in Sea Water,mass_concentration_of_picophytoplankton_expressed_as_chlorophyll_in_sea_water,kg m-3,c96e35a8-c5f0-11e6-ac20-5404a60d96b5,CMIP6 Endorsement [OMIP],1,Existing physical parameter,['rec9BWIRSGikeTC4W'],"chlorophyll concentration from the picophytoplankton (<2 um) component alone
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recWkZDEORnofX0cG,fddtalk,Rate of Change of Total Alkalinity,integral_wrt_depth_of_tendency_of_sea_water_alkalinity_expressed_as_mole_equivalent,mol m-2 s-1,3e0c9853afc682db9a950cc5bc3c1c3a,"CMIP5_Omon,PMIP3_Oclim,PMIP3_Omon",1,Existing physical parameter,['recdlVo3e7AxxE4RF'],"vertical integral of net time rate of change of alkalinity
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recWrFmeU5w0UHLC7,pr,Precipitation,precipitation_flux,kg m-2 s-1,62f26742cf240c1b5169a5cd511196b6,CCMI1_daily,1,Existing physical parameter,"['recs8dKruv6Nsdy40', 'recXcwiNlAPjj404L', 'recHN94Y3nQmykDIW', 'recslPgPl2MFOwgRh', 'recCoCcn2w9uARlSw', 'recH6fA42tA48S26x', 'rec67shaDyj1pqpXl', 'recqzLIhF2aueUWUX', 'recZM5lBDI6Op1jZ5', 'recIWmudXPgTkx7nj']","includes both liquid and solid phases
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recWrdXPcoEPZ8TVy,tnpeo,Tendency of Ocean Potential Energy Content,tendency_of_ocean_potential_energy_content,W m-2,dfd869cd3463de6a57b2a9e10605efe7,OMIP_Oyr,1,Existing physical parameter,"['recnw3i8siFWdD7Qi', 'recvaMaGdhXJM6SuZ']","Rate that work is done against vertical stratification, as measured by the vertical heat and salt diffusivity. Report here as depth integrated two-dimensional field.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recWwgIDs4eNXyldZ,c13Litter,Mass of 13C in Litter Pool,litter_mass_content_of_13C,kg m-2,590de850-9e49-11e5-803c-0d0b866b59f3,CMIP6 endorsement [PMIP],1,Existing physical parameter,['rectmCBtiCb3NZwNd'],"Carbon-13 mass content per unit area litter (dead plant material in or above the soil).
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recWyAtAuHvtJSEXv,h2,H2 volume mixing ratio,mole_fraction_of_molecular_hydrogen_in_air,mol mol-1,,,1,Under review,['recvryT19BwvuZF72'],,0 checked out of 1,2024-08-29T11:41:30.000Z,Beth Dingley,In progress,['Atmosphere'],True,Atmosphere,fiona.oconnor@metoffice.gov.uk,"To understand the budget of molecular hydrogen
",,,,,,,,,,,,,
recWzTJ3owJA96DNT,intppnano,Net Primary Mole Productivity of Carbon by nanophytoplankton,,mol m-2 s-1,,,1,Under review,"['recrtpHHrWYvRFXom', 'recGJC6jCiv6FoWJQ']",,,2024-09-15T16:32:57.000Z,Beth Dingley,,['Ocean & sea-ice'],True,Impacts & Adaptation,damaris.zurell@uni-potsdam.de,"Vertically integrated primary (organic carbon) production by the nanophytoplankton component alone
",,,net_primary_mole_productivity_of_biomass_expressed_as_carbon_by_nanophytoplankton,https://github.com/cf-convention/vocabularies/issues/225,,,,,In progress,,,,
recX1iyom96BNb9e5,fddtdic,Rate of Change of Net Dissolved Inorganic Carbon,tendency_of_ocean_mole_content_of_dissolved_inorganic_carbon,mol m-2 s-1,1333394a296e7f8af6c9bad15cb9778d,"CMIP5,C4MIP,LS3MIP",1,Existing physical parameter,['rec2ImXSIKjAjm0YJ'],"""Content"" indicates a quantity per unit area.  ""tendency\_of\_X"" means derivative of X with respect to time. ""Dissolved inorganic carbon"" describes a family of chemical species in solution, including carbon dioxide, carbonic acid and the carbonate and bicarbonate anions. ""Dissolved inorganic carbon"" is the term used in standard names for all species belonging to the family that are represented within a given model. The list of individual species that are included in a quantity having a group chemical standard name can vary between models.  Where possible, the data variable should be accompanied by a complete description of the species represented, for example, by using a comment attribute.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recX6wNpJX8RIDKqn,tnpeotb,Tendency of Ocean Potential Energy Content Due to Background,tendency_of_ocean_potential_energy_content_due_to_background,W m-2,d00cab8104f1a9e853ebfa511d725462,CMIP5_Oclim,1,Existing physical parameter,['recYRNOcA3L4w3Rjr'],"""Content"" indicates a quantity per unit area.  Potential energy is the sum of the gravitational potential energy relative to the geoid and the centripetal potential energy. (The geopotential is the specific potential energy.)  ""Due to background"" means caused by a time invariant imposed field which may be either constant over the globe or spatially varying, depending on the ocean model used. The specification of a physical process by the phrase due\_to\_process means that the quantity named is a  single term in a sum of terms which together compose the general quantity  named by omitting the phrase.  ""tendency\_of\_X"" means derivative of X with respect to time.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recX9wJoJX9fFiRTh,msftyzmpa,Ocean Y Overturning Mass Streamfunction Due to Parameterized Mesoscale Advection,ocean_y_overturning_mass_streamfunction_due_to_parameterized_mesoscale_eddy_advection,kg s-1,481469b8223841a5382d43e7c6ae204e,OMIP.Omon,1,Existing physical parameter,['recKULqFQGrmP2zaQ'],"CMIP5 called this ""due to Bolus Advection"".  Name change respects the more general physics of the mesoscale parameterizations.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,For a model with a cartesian latxlon grid this should be omitted.,,,,,,,,
recXAWkridQc7gkzI,sfdsi,Downward Sea Ice Basal Salt Flux,downward_sea_ice_basal_salt_flux,kg m-2 s-1,8d0958ad5a4eabc97fc1896e847b00fe,"CMIP5_Omon,PMIP3_Oclim,PMIP3_Omon",1,Existing physical parameter,"['rec0EoAcT9CLZ7rE7', 'recGnHMuvdwOO2OwD', 'rec7YMvRzlOAvrE3P', 'recWsH1b65hOHateJ']","This field is physical, and it arises since sea ice has a nonzero salt content, so it exchanges salt with the liquid ocean upon melting and freezing.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,['si'],,,,,,,,,,,
recXC6GsxxtAK9F01,clmodisice,MODIS Ice-Topped Cloud Area Fraction,,1,,,1,Accepted,"['recTTC6mVBAhCFQQc', 'recJOnEuwO2mTHoRE']",,,2024-07-31T20:44:08.000Z,Beth Dingley,Accepted,['Atmosphere'],True,Brandon Duran,bmduran@ucsd.edu,"Same as clmodisliquid, but this parameter can be used to estimate the SW ERFaci from ice clouds. This would be most useful in GCMs that capture at least some of the _aerosol effects on ice clouds, _and might also prove useful to understand how different degrees of ice-aerosol representations in models lead to differences in aerosol forcing_. _This parameter could also be used in a similar fashion to _clmodis_ as a test on how well models simulate ice cloud _amount_ as well as ice cloud _distribution_ (in CTP-COT or r\_e-IWP space).
",,,modis_ice_topped_cloud_area_fraction,https://github.com/cf-convention/vocabularies/issues/52,,,,,,,,"Atmosphere team are happy with the technical description of the parameters and confirmed there is precedent for the modis naming convention. The IPO has reached out to the proposer to inform that an accepted physical parameter does not indicate inclusion into the Data Request - the physical parameter must be assigned to a Variable, which in turn must be assigned a variable group and opportunity to ensure inclusion.",True
recXD8xAXkjVzoSx4,tauucorr,Sea Water Surface Downward X Stress Correction,downward_x_stress_correction_at_sea_water_surface,N m-2,06942529e05aac1e9a39ca1f5737af2f,OMIP.Omon,1,Existing physical parameter,['rec6OYaYghQ5ncCvU'],"This is the stress on the liquid ocean from overlying atmosphere, sea ice, ice shelf, etc.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recXDmbzrrYln5Pik,msftyzsmpa,Ocean Y Overturning Mass Streamfunction Due to Parameterized Submesoscale Advection,ocean_meridional_overturning_mass_streamfunction_due_to_parameterized_submesoscale_eddy_advection,kg s-1,2ac2d8645abddc0eb9fe53a7ea680465,OMIP.Omon,1,Existing physical parameter,['recD42yRfkVfjb1lB'],"Report only if there is a submesoscale eddy parameterization.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,For a model with a cartesian latxlon grid this should be omitted.,,,,,,,,
recXIF9tpSuKffmMu,darag,Aragonite Dissolution,tendency_of_mole_concentration_of_aragonite_expressed_as_carbon_in_sea_water_due_to_dissolution,mol m-3 s-1,402d88cf81105fe603118df92bb9eecb,OMIP,1,Existing physical parameter,['recAFG43HzL4oQJBV'],"Rate of change of Aragonite carbon mole concentration  due to dissolution
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recXNnpvyHHMDvEZx,so,Sea Water Salinity,sea_water_salinity,1,31eb8d2a1ed4d82ef8bebe4227ec90b9,OMIP.Omon,1,Existing physical parameter,"['rec0VqfNlpamfEp9W', 'recvRBpmej3rdfb45', 'recA6QmGYYMIY9Acy']","Sea water salinity is the salt content of sea water, often on the Practical Salinity Scale of 1978. However, the unqualified term 'salinity' is generic and does not necessarily imply any particular method of calculation. The units of salinity are dimensionless and the units attribute should normally be given as 1e-3 or 0.001 i.e. parts per thousand. 
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recXOZKCdwk4TdHI8,fracOutLut,Annual Gross Percentage of Land-Use Tile That Was Transferred into Other Land-Use Tiles,area_fraction,%,5913dbf2-9e49-11e5-803c-0d0b866b59f3,CMIP6 endorsement [LUMIP],1,Existing physical parameter,['recpdPceYDuez1qOj'],"Cumulative percentage transitions over the year; note that percentage should be reported as percentage of atmospheric grid cell
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recXUdyTYRxapy38K,lwsnl,Liquid Water Content of Snow Layer,liquid_water_content_of_surface_snow,kg m-2,c7452587dbc0d44ad81fc174a656ecea,"CMIP5_LImon,PMIP3_LIclim,PMIP3_LImon",1,Existing physical parameter,"['rec0E9Qound6OeWU8', 'recUcDVwNmDNSg4jp']","The total mass of liquid water contained interstitially within the whole depth of the snow layer of the land portion of a grid cell divided by the area of the land portion of the cell.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recXV9dTKN44LjkPn,sitimefrac,Fraction of Time Steps with Sea Ice,fraction_of_time_with_sea_ice_area_fraction_above_threshold,1,590e8b2a-9e49-11e5-803c-0d0b866b59f3,CMIP6 endorsement [SIMIP],1,Existing physical parameter,"['reclIyGqTZjheAI09', 'recS1da6Z7dGRvCTw']","Fraction of time steps of the averaging period during which sea ice is present (siconc >0 ) in a grid cell
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,['si'],,,,,,,,,,,
recXdHGCrrVTid9r1,jo3,Photolysis Rate of Ozone (O3),photolysis_rate_of_ozone,s-1,59137fd6-9e49-11e5-803c-0d0b866b59f3,CMIP6 endorsement [DAMIP],1,Existing physical parameter,['rechR9vIjy5WlfVDA'],"Sum of photolysis rates o3 -> o1d+o2 and o3 -> o+o2
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recXdUIADU7Y4omGd,dxvo,Eastward gridbox width on v points,,m,,,1,Under review,['rec23nIGqHtjmcxbw'],,,2024-09-08T20:41:07.000Z,Automations,,['Ocean & sea-ice'],True,Jenny Mecking – Ocean and Sea Ice Author Team – National Oceanography Centre – Climate and Uncertainty group,jmecki@noc.ac.uk,"To be able to do accurate calculations for the ocean model the width of the gridboxes in both the east/west and north/south direction is essential. This is particularly true if ocean transects are being investigated. Furthermore, attempting to estimate these parameters using the longitudes and latitudes from the t,u and v grid points often leads to incorrect values due to some models artificially narrowing channels (e.g. Strait of Gibraltar and between various islands in the Indonesian Through flow region.)
",,,eastward_ocean_gridbox_length_at _v_point,https://github.com/cf-convention/vocabularies/issues/219,,,,True,In progress,,,,
recXersi1Kl2APKrC,bddtdisi,Rate of Change of Dissolved Inorganic Silicon Due to Biological Activity,tendency_of_mole_concentration_of_dissolved_inorganic_silicon_in_sea_water_due_to_biological_processes,mol m-3 s-1,2157a343384243be18fe8a06826aecb5,CMIP5_Oyr,1,Existing physical parameter,['recpCWsOssUVHQcy3'],"Net of biological terms in time rate of change of dissolved inorganic silicon
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
